grade,subject,classification,lessons,humanReviewed,legacyStatusOnly,objectivesInPayload,classwork,homework,practice,quiz,assessmentQuestions,labsInPayload,typedLabs,units,moeObjectives,exams,moeArchive,releases,gaps
1,MATH,SOURCE_EXISTS_NOT_IMPORTED,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,"NO_LIVE_LESSONS;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,LITERACY,RELEASE_BINDING_GAP,4,0,4,4,0,0,0,0,0,0,0,2,0,0,yes,0,"NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY;NON_CANONICAL_SUBJECT_BINDING"
1,SCIENCE,SOURCE_EXISTS_NOT_IMPORTED,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,"NO_LIVE_LESSONS;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY;NO_TYPED_LAB"
1,SOCIAL_STUDIES,SOURCE_EXISTS_NOT_IMPORTED,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,"NO_LIVE_LESSONS;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,CIVICS,RELEASE_BINDING_GAP,18,0,18,18,9,0,9,0,9,0,0,2,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_HOMEWORK;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,COMPUTER_SCIENCE,RELEASE_BINDING_GAP,10,0,10,10,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,DIGITAL_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,ENGINEERING_FOUNDATIONS,RELEASE_BINDING_GAP,12,0,12,12,0,0,0,0,0,0,0,0,0,0,no,0,"NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;LESSONS_WITHOUT_HUMAN_REVIEW;UNVERIFIED_PROVENANCE;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,BUSINESS_ENTREPRENEURSHIP,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
1,FINANCIAL_LITERACY,NO_VERIFIED_SOURCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,0,"NO_LIVE_LESSONS;NO_VERIFIED_SOURCE;NO_GOVERNED_OBJECTIVES;NO_CLASSWORK;NO_HOMEWORK;NO_PRACTICE;NO_QUIZ_OR_ITEMS;NO_TEST_OR_EXAM;NO_DIAGNOSTIC_BINDING;NO_UNIT_STRUCTURE;NO_TEXTBOOK_RESOURCE;NO_EXECUTABLE_RELEASE;NO_TOOL_POLICY"
